crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2
60,160,1292,43400.0,47160.0,64.09,-3898.7,1,0.0064
106,189,1198,35880.0,44840.0,57.43,-3898.3,1,0.0064
63,161,1194,35560.0,47080.0,59.0,-3898.2,1,0.0064
64,162,1228,38280.0,47000.0,60.62,-3898.1,1,0.0064
125,203,1338,47080.0,43720.0,64.25,-3898.1,1,0.0064
132,206,1360,48840.0,43480.0,65.39,-3897.6,1,0.0064
163,223,1340,47240.0,42120.0,63.29,-3897.5,1,0.0064
195,242,1377,50200.0,40600.0,64.56,-3897.5,1,0.0064
109,191,1177,34200.0,44680.0,56.27,-3897.2,1,0.0064
134,207,1346,47720.0,43400.0,64.5,-3896.9,1,0.0064
168,224,1323,45880.0,42040.0,62.23,-3896.5,1,0.0064
112,195,1134,30760.0,44360.0,53.98,-3895.9,1,0.0064
104,187,1350,48040.0,45000.0,65.82,-3894.7,1,0.0064
116,196,1318,45480.0,44280.0,63.48,-3892.8,1,0.0064
49,147,1248,39880.0,48200.0,62.56,-3891.3,1,0.0064
332,341,1319,45560.0,32680.0,56.07,-3890.0,1,0.0064
164,223,1347,47800.0,42120.0,63.71,-3889.8,1,0.0064
333,342,1343,47480.0,32600.0,57.59,-3889.6,1,0.0064
107,189,1341,47320.0,44840.0,65.19,-3889.2,1,0.0064
103,187,1328,46280.0,45000.0,64.55,-3887.6,1,0.0064
212,256,1387,51000.0,39480.0,64.5,-3885.9,1,0.0064
36,133,1244,39560.0,49320.0,63.23,-3885.7,1,0.0064
149,215,1333,46680.0,42760.0,63.3,-3885.4,1,0.0064
48,145,1203,36280.0,48360.0,60.46,-3884.9,1,0.0064
314,325,1345,47640.0,33960.0,58.51,-3884.2,1,0.0064
150,216,1361,48920.0,42680.0,64.92,-3883.9,1,0.0064
342,350,1326,46120.0,31960.0,56.11,-3883.8,1,0.0064
66,163,1319,45560.0,46920.0,65.4,-3883.2,1,0.0064
156,218,1354,48360.0,42520.0,64.39,-3882.4,1,0.0064
30,126,1248,39880.0,49880.0,63.86,-3881.6,1,0.0064
238,274,1393,51480.0,38040.0,64.01,-3881.6,1,0.0064
114,195,1357,48600.0,44360.0,65.8,-3880.3,1,0.0064
198,243,1370,49640.0,40520.0,64.08,-3878.5,1,0.0064
113,195,1349,47960.0,44360.0,65.33,-3878.1,1,0.0064
180,232,1378,50280.0,41400.0,65.13,-3877.5,1,0.0064
228,267,1399,51960.0,38600.0,64.73,-3877.2,1,0.0064
50,149,1229,38360.0,48040.0,61.48,-3877.0,1,0.0064
47,144,1294,43560.0,48440.0,65.15,-3875.9,1,0.0064
173,227,1364,49160.0,41800.0,64.53,-3875.0,1,0.0064
135,207,1371,49720.0,43400.0,66.0,-3874.4,1,0.0064
15,105,1236,38920.0,51560.0,64.6,-3874.2,1,0.0064
43,139,1199,35960.0,48840.0,60.65,-3873.2,1,0.0064
46,143,1217,37400.0,48520.0,61.26,-3871.6,1,0.0064
240,275,1403,52280.0,37960.0,64.61,-3871.6,1,0.0064
45,142,1237,39000.0,48600.0,62.31,-3870.7,1,0.0064
91,182,1342,47400.0,45400.0,65.63,-3870.7,1,0.0064
339,348,1337,47000.0,32120.0,56.93,-3870.2,1,0.0064
39,137,1227,38200.0,49000.0,62.13,-3867.4,1,0.0064
34,130,1212,37000.0,49560.0,61.85,-3865.4,1,0.0064
196,242,1390,51240.0,40600.0,65.38,-3862.9,1,0.0064
221,262,1379,50360.0,39000.0,63.7,-3862.9,1,0.0064
161,222,1380,50440.0,42200.0,65.76,-3858.7,1,0.0064
28,124,1212,37000.0,50040.0,62.23,-3851.2,1,0.0064
37,134,1181,34520.0,49240.0,60.13,-3848.4,1,0.0064
17,106,1221,37720.0,51480.0,63.82,-3841.8,1,0.0064
59,159,1328,46280.0,47240.0,66.13,-3839.9,1,0.0064
25,122,1201,36120.0,50200.0,61.84,-3838.3,1,0.0064
11,95,1262,41000.0,52360.0,66.5,-3836.7,1,0.0064
35,131,1190,35240.0,49480.0,60.75,-3835.5,1,0.0064
21,117,1226,38120.0,50600.0,63.35,-3835.2,1,0.0064
12,96,1248,39880.0,52280.0,65.75,-3834.1,1,0.0064
24,121,1192,35400.0,50280.0,61.49,-3830.9,1,0.0064
26,123,1305,44440.0,50120.0,66.98,-3828.8,1,0.0064
18,108,1199,35960.0,51320.0,62.66,-3824.8,1,0.0064
378,411,1338,47080.0,27080.0,54.31,-3815.4,1,0.0064
158,221,1410,52840.0,42280.0,67.67,-3812.2,1,0.0064
27,123,1314,45160.0,50120.0,67.46,-3808.2,1,0.0064
3,0,754,360.0,59960.0,59.96,-3804.8,1,0.0064
22,117,1314,45160.0,50600.0,67.82,-3789.9,1,0.0064
16,105,1304,44360.0,51560.0,68.02,-3779.4,1,0.0064
356,365,1380,50440.0,30760.0,59.08,-3777.8,1,0.0064
