crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,
64,162,1228,38280,47000,60.62,-3898.1,1,0.0064,1.48E-10,3.47E-10,7.37E-12,1.42E-11,
125,203,1338,47080,43720,64.25,-3898.1,1,0.0064,,,,,
132,206,1360,48840,43480,65.39,-3897.6,1,0.0064,,,,,
163,223,1340,47240,42120,63.29,-3897.5,1,0.0064,,,,,
195,242,1377,50200,40600,64.56,-3897.5,1,0.0064,,,,,
109,191,1177,34200,44680,56.27,-3897.2,1,0.0064,7.44E-11,1.88E-10,9.88E-12,1.08E-11,
134,207,1346,47720,43400,64.5,-3896.9,1,0.0064,,,,,
168,224,1323,45880,42040,62.23,-3896.5,1,0.0064,,,,,
112,195,1134,30760,44360,53.98,-3895.9,1,0.0064,5.96E-11,1.18E-10,3.25E-12,3.52E-12,
104,187,1350,48040,45000,65.82,-3894.7,1,0.0064,5.14E-11,5.55E-11,8.00E-12,7.25E-12,
116,196,1318,45480,44280,63.48,-3892.8,1,0.0064,,,,,
49,147,1248,39880,48200,62.56,-3891.3,1,0.0064,8.33E-11,1.56E-10,4.37E-12,6.31E-12,
332,341,1319,45560,32680,56.07,-3890,1,0.0064,,,,,
164,223,1347,47800,42120,63.71,-3889.8,1,0.0064,,,,,
333,342,1343,47480,32600,57.59,-3889.6,1,0.0064,,,,,
107,189,1341,47320,44840,65.19,-3889.2,1,0.0064,,,,,
103,187,1328,46280,45000,64.55,-3887.6,1,0.0064,,,,,
212,256,1387,51000,39480,64.5,-3885.9,1,0.0064,6.92E-11,1.49E-10,9.05E-12,8.15E-12,
36,133,1244,39560,49320,63.23,-3885.7,1,0.0064,1.21E-10,1.64E-10,7.60E-12,1.10E-11,
149,215,1333,46680,42760,63.3,-3885.4,1,0.0064,,,,,
48,145,1203,36280,48360,60.46,-3884.9,1,0.0064,8.79E-11,1.40E-10,7.04E-12,6.58E-12,
314,325,1345,47640,33960,58.51,-3884.2,1,0.0064,,,,,
150,216,1361,48920,42680,64.92,-3883.9,1,0.0064,,,,,
342,350,1326,46120,31960,56.11,-3883.8,1,0.0064,,,,,
66,163,1319,45560,46920,65.4,-3883.2,1,0.0064,,,,,
156,218,1354,48360,42520,64.39,-3882.4,1,0.0064,,,,,
30,126,1248,39880,49880,63.86,-3881.6,1,0.0064,6.08E-11,1.26E-10,4.65E-12,5.38E-12,
238,274,1393,51480,38040,64.01,-3881.6,1,0.0064,,,,,
114,195,1357,48600,44360,65.8,-3880.3,1,0.0064,,,,,
198,243,1370,49640,40520,64.08,-3878.5,1,0.0064,,,,,
113,195,1349,47960,44360,65.33,-3878.1,1,0.0064,,,,,
180,232,1378,50280,41400,65.13,-3877.5,1,0.0064,,,,,
228,267,1399,51960,38600,64.73,-3877.2,1,0.0064,6.43E-11,1.04E-10,4.56E-12,5.50E-12,
50,149,1229,38360,48040,61.48,-3877,1,0.0064,9.27E-11,1.87E-10,4.30E-12,9.27E-12,
47,144,1294,43560,48440,65.15,-3875.9,1,0.0064,5.93E-11,1.02E-10,7.69E-12,9.16E-12,
173,227,1364,49160,41800,64.53,-3875,1,0.0064,,,,,
135,207,1371,49720,43400,66,-3874.4,1,0.0064,,,,,
15,105,1236,38920,51560,64.6,-3874.2,1,0.0064,4.34E-11,1.49E-10,1.43E-11,1.59E-11,
43,139,1199,35960,48840,60.65,-3873.2,1,0.0064,7.39E-11,1.30E-10,8.62E-12,3.36E-12,
46,143,1217,37400,48520,61.26,-3871.6,1,0.0064,6.93E-11,1.54E-10,4.86E-12,5.30E-12,
240,275,1403,52280,37960,64.61,-3871.6,1,0.0064,3.41E-11,4.94E-11,3.85E-12,3.22E-12,
45,142,1237,39000,48600,62.31,-3870.7,1,0.0064,5.82E-11,1.54E-10,4.51E-12,5.66E-12,
91,182,1342,47400,45400,65.63,-3870.7,1,0.0064,,,,,
339,348,1337,47000,32120,56.93,-3870.2,1,0.0064,,,,,
39,137,1227,38200,49000,62.13,-3867.4,1,0.0064,5.94E-11,1.45E-10,3.14E-12,4.25E-12,
34,130,1212,37000,49560,61.85,-3865.4,1,0.0064,8.76E-11,1.09E-10,3.00E-12,1.23E-11,
196,242,1390,51240,40600,65.38,-3862.9,1,0.0064,4.77E-11,1.17E-10,2.38E-12,3.92E-12,
221,262,1379,50360,39000,63.7,-3862.9,1,0.0064,,,,,
161,222,1380,50440,42200,65.76,-3858.7,1,0.0064,,,,,
28,124,1212,37000,50040,62.23,-3851.2,1,0.0064,6.32E-11,1.70E-10,4.32E-12,5.05E-12,
37,134,1181,34520,49240,60.13,-3848.4,1,0.0064,7.06E-11,1.06E-10,1.77E-11,1.21E-11,
17,106,1221,37720,51480,63.82,-3841.8,1,0.0064,1.05E-10,1.13E-10,1.30E-11,1.12E-11,
59,159,1328,46280,47240,66.13,-3839.9,1,0.0064,5.95E-11,1.27E-10,3.83E-12,6.04E-12,
25,122,1201,36120,50200,61.84,-3838.3,1,0.0064,7.24E-11,2.21E-10,1.95E-11,5.62E-12,
11,95,1262,41000,52360,66.5,-3836.7,1,0.0064,6.39E-11,1.36E-10,6.16E-12,1.56E-11,
35,131,1190,35240,49480,60.75,-3835.5,1,0.0064,8.41E-11,8.85E-11,5.17E-12,7.53E-12,
21,117,1226,38120,50600,63.35,-3835.2,1,0.0064,6.54E-11,1.77E-10,5.89E-12,9.30E-12,
12,96,1248,39880,52280,65.75,-3834.1,1,0.0064,8.63E-11,9.45E-11,7.11E-12,1.62E-11,
24,121,1192,35400,50280,61.49,-3830.9,1,0.0064,8.50E-11,9.94E-11,1.05E-11,8.28E-12,
26,123,1305,44440,50120,66.98,-3828.8,1,0.0064,1.17E-10,6.62E-11,1.62E-11,1.62E-11,
18,108,1199,35960,51320,62.66,-3824.8,1,0.0064,6.90E-11,3.63E-10,1.51E-11,6.45E-12,
378,411,1338,47080,27080,54.31,-3815.4,1,0.0064,,,,,
