Rank,crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,IceIndex,Priority
283,758,1464,97,-52200.0,-57160.0,77.41,-1913.2,1,0.0064,8.131756379370357e-11,1.7000523211407878e-10,1.6644845224345062e-12,6.949266249250963e-12,0.4709428229669539,Medium Priority
284,754,1457,150,-47960.0,-56600.0,74.19,-1931.7,1,0.0064,5.938947944539308e-11,1.2183866415771402e-10,3.325024934205945e-12,6.096218148343713e-12,0.4707335357174224,Medium Priority
285,574,1233,416,-26680.0,-38680.0,46.99,-2909.1,1,0.0064,8.291940745142057e-11,1.4505781298357334e-10,3.2048544373886045e-11,1.4238130639776523e-11,0.4655611887283807,Medium Priority
286,607,1255,365,-30760.0,-40440.0,50.81,-2914.2,1,0.0064,5.1908498333030906e-11,1.0427356200715107e-10,6.576006666286771e-12,9.56285745035146e-12,0.4640920742804634,Medium Priority
287,30,126,1248,39880.0,49880.0,63.86,-3881.6,1,0.0064,6.076537190091713e-11,1.2588911857402962e-10,4.646648083667104e-12,5.376780184279673e-12,0.4619684321987527,Medium Priority
288,707,1342,450,-23960.0,-47400.0,53.11,-2963.5,1,0.0064,7.905701787658259e-11,1.6117300549733926e-10,9.38658612642529e-12,7.715111535744335e-12,0.4608137448237639,Medium Priority
289,283,305,96,-52280.0,35560.0,63.23,-1929.3,1,0.0064,1.5216627957670426e-10,3.0269808881655536e-10,2.736922667667674e-11,2.5818552157330643e-11,0.4596233830875248,Medium Priority
290,703,1339,436,-25080.0,-47160.0,53.41,-2916.5,1,0.0064,1.0492306329323851e-10,2.0668873557116998e-10,2.086154686498088e-11,1.1107665134901799e-11,0.4590808734727792,Medium Priority
291,494,1151,295,-36360.0,-32120.0,48.52,-2537.2,1,0.0064,4.9037073013291626e-11,9.602032363664748e-11,9.925902114127359e-12,4.150321145784952e-12,0.4585208376363515,Medium Priority
292,587,1240,410,-27160.0,-39240.0,47.72,-2914.3,1,0.0064,7.97997154466934e-11,1.5978890433032686e-10,1.3392838921211236e-11,1.1025212860726883e-11,0.4581405258497936,Medium Priority
293,651,1293,364,-30840.0,-43480.0,53.31,-2907.4,1,0.0064,9.044874571539907e-11,1.6787461698530848e-10,2.8830254156231302e-11,6.271354095754855e-12,0.4574937642818396,Medium Priority
294,555,1219,361,-31080.0,-37560.0,48.75,-2908.8,1,0.0064,9.248889848434416e-11,1.8638418586292002e-10,1.5783794410362262e-11,5.8003510848558815e-12,0.4552336365205623,Medium Priority
