crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX
685,1324,406,-27480.0,-45960.0,53.55,-2931.4,1,0.0064,1.0577704684378019e-10,1.2340511945652108e-10,1.809254655815717e-11,1.3473643208083974e-11
584,1238,378,-29720.0,-39080.0,49.1,-2930.6,1,0.0064,1.635496460483665e-10,9.996124067379596e-11,5.622123600002027e-11,1.6007320469135777e-11
715,1353,476,-21880.0,-48280.0,53.01,-2930.1,1,0.0064,1.0518520082714031e-10,1.486841483266943e-10,1.521311895902322e-11,1.0207452938448824e-11
671,1313,379,-29640.0,-45080.0,53.95,-2929.3,1,0.0064,4.4133644655497406e-11,8.79648229257235e-11,4.498512673478672e-12,4.9118643180579005e-12
640,1281,510,-19160.0,-42520.0,46.64,-2928.6,1,0.0064,4.4842411034418106e-11,1.3054377023813402e-10,1.1249826591119838e-11,8.853416263998604e-12
602,1253,397,-28200.0,-40280.0,49.17,-2926.3,1,0.0064,2.6951110787543087e-10,3.144794147313945e-11,9.693489066986416e-11,3.751118513029006e-11
616,1261,380,-29560.0,-40920.0,50.48,-2926.3,1,0.0064,2.1781111636531847e-10,1.0792582799679096e-10,5.122663404577565e-11,2.865893286574384e-11
556,1219,376,-29880.0,-37560.0,48.0,-2925.9,1,0.0064,7.299492260637308e-11,1.8453809313978556e-10,1.3982585922445168e-11,7.028525764868343e-12
722,1360,478,-21720.0,-48840.0,53.45,-2924.0,1,0.0064,1.1307405706206808e-10,1.4248333068955787e-10,6.281286255016561e-12,1.7134751950642624e-11
618,1262,391,-28680.0,-41000.0,50.04,-2922.9,1,0.0064,8.472765544720318e-11,1.9023384256744438e-10,1.0816882979602926e-11,1.2586722462903932e-11
706,1342,423,-26120.0,-47400.0,54.12,-2922.4,1,0.0064,7.101955135091487e-11,1.9722791455567543e-10,1.6122381207850367e-11,7.848266307675099e-12
551,1217,351,-31880.0,-37400.0,49.14,-2922.1,1,0.0064,9.662670663601601e-11,7.878724755938649e-11,4.219907756564112e-11,1.2842372998367324e-11
661,1303,526,-17880.0,-44280.0,47.75,-2921.9,1,0.0064,8.731339956602469e-11,1.807685806598513e-10,1.1057405858994064e-11,9.011594422070336e-12
531,1202,412,-27000.0,-36200.0,45.16,-2920.6,1,0.0064,5.0342358753896477e-11,9.411892099020491e-11,1.6131884023051768e-11,6.219565661103044e-12
592,1246,406,-27480.0,-39720.0,48.3,-2920.5,1,0.0064,8.191735484386342e-11,1.0403580080753372e-10,1.6779858752480337e-11,1.0447461472329334e-11
562,1225,391,-28680.0,-38040.0,47.64,-2920.2,1,0.0064,6.041557532032725e-11,1.3894058126240338e-10,8.967738877874165e-12,5.719792695035864e-12
586,1239,404,-27640.0,-39160.0,47.93,-2918.7,1,0.0064,9.949417678623007e-11,1.2957777906219548e-10,1.3483731492458516e-11,1.237091765832199e-11
654,1295,521,-18280.0,-43640.0,47.31,-2918.2,1,0.0064,4.544290291286224e-11,1.1706770275399236e-10,1.1211917678999315e-11,7.654267844547924e-12
609,1257,372,-30200.0,-40600.0,50.6,-2917.5,1,0.0064,5.764935057106513e-11,1.6594010887605035e-10,9.168475006982035e-12,6.837141096338595e-12
646,1289,392,-28600.0,-43160.0,51.78,-2917.5,1,0.0064,1.3203917126336506e-10,1.340241528868802e-10,3.413250931894041e-11,2.084386309386677e-11
702,1338,413,-26920.0,-47080.0,54.23,-2917.4,1,0.0064,2.0304358194778158e-10,1.8811704971533058e-10,3.575646029263524e-11,2.064465612350297e-11
577,1236,387,-29000.0,-38920.0,48.54,-2916.9,1,0.0064,7.577000138425659e-11,1.7422469023031795e-10,2.8314284944430668e-11,1.5984482834574543e-11
